period,tp_mult,sl_mult,total_trades,win_rate,total_pnl,expectancy,max_drawdown,conf_threshold
2020-2021,3.5,0.875,10,0.5,339.6201168945316,33.96201168945315,-0.005768818881835978,0.1076183021068573
2020-2021,3.5,1.0,10,0.5,326.767091120257,32.6767091120257,-0.006420397425362717,0.1076183021068573
2020-2021,3.5,1.125,10,0.5,313.017367958287,31.301736795828695,-0.007160959428362366,0.1076183021068573
2020-2021,3.5,1.25,10,0.5,299.2676447963175,29.926764479631743,-0.00790152143136147,0.1076183021068573
2022-2023,2.5,0.75,10,0.2,-66.27626798270063,-6.627626798270061,-0.014285927471329363,0.09233967214822769
2022-2023,2.5,0.875,10,0.3,43.57819150739346,4.357819150739353,-0.016328492215823696,0.09233967214822769
2022-2023,2.5,1.0,10,0.4,152.55026574358126,15.25502657435814,-0.01832024538491505,0.09233967214822769
2022-2023,2.5,1.125,10,0.4,118.86820441196906,11.886820441196921,-0.020541681725217996,0.09233967214822769
2022-2023,2.5,1.25,10,0.5,249.33954186662814,24.933954186662824,-0.011563342872985766,0.09233967214822769
2022-2023,2.75,0.75,10,0.1,-205.78440309709694,-20.57844030970969,-0.024920327977620678,0.09233967214822769
2022-2023,2.75,0.875,10,0.1,-256.2438910121369,-25.624389101213687,-0.028886944917023472,0.09233967214822769
2022-2023,2.75,1.0,10,0.2,-148.19878385184126,-14.819878385184122,-0.02813470686933099,0.09233967214822769
2022-2023,2.75,1.125,10,0.2,-193.37478526436877,-19.33747852643688,-0.03154679918398572,0.09233967214822769
2022-2023,2.75,1.25,10,0.3,-63.45382797153939,-6.345382797153938,-0.023534690615451687,0.09233967214822769
2022-2023,3.0,0.75,10,0.1,-195.27010343191847,-19.527010343191847,-0.024894269431652995,0.09233967214822769
2022-2023,3.0,0.875,10,0.1,-245.72959134695847,-24.572959134695843,-0.02885670570370954,0.09233967214822769
2022-2023,3.0,1.0,10,0.2,-127.11751118164062,-12.71175111816406,-0.028076318356137317,0.09233967214822769
2022-2023,3.0,1.125,10,0.2,-172.29351259416813,-17.229351259416816,-0.031481258951410615,0.09233967214822769
2022-2023,3.0,1.25,10,0.2,-217.46951400669658,-21.74695140066966,-0.03489354439657243,0.09233967214822769
2022-2023,3.25,0.75,10,0.1,-184.75580376674003,-18.475580376674003,-0.024868265326260693,0.09233967214822769
2022-2023,3.25,0.875,10,0.1,-235.21529168178003,-23.521529168178,-0.028826529733761055,0.09233967214822769
2022-2023,3.25,1.0,10,0.2,-106.03623851143999,-10.603623851143997,-0.02801817169070295,0.09233967214822769
2022-2023,3.25,1.125,10,0.2,-151.2122399239675,-15.121223992396754,-0.03141599048120207,0.09233967214822769
2022-2023,3.25,1.25,10,0.2,-196.38824133649595,-19.638824133649596,-0.034821123546831166,0.09233967214822769
2022-2023,3.5,0.75,10,0.1,-174.2415041015616,-17.42415041015616,-0.02484231549101885,0.09233967214822769
2022-2023,3.5,0.875,10,0.1,-224.7009920166016,-22.470099201660155,-0.02879641680898114,0.09233967214822769
2022-2023,3.5,1.0,10,0.2,-84.95496584123936,-8.495496584123934,-0.027960265373517496,0.09233967214822769
2022-2023,3.5,1.125,10,0.2,-130.13096725376687,-13.013096725376691,-0.031350992086564514,0.09233967214822769
2022-2023,3.5,1.25,10,0.2,-175.3069686662953,-17.530696866629533,-0.03474900269049436,0.09233967214822769
2024-2025,2.5,0.75,5,1.0,450.31373814174003,90.062747628348,0.0,0.09596249461174011
2024-2025,2.5,0.875,5,1.0,450.31373814174003,90.062747628348,0.0,0.09596249461174011
2024-2025,2.5,1.0,5,1.0,450.31373814174003,90.062747628348,0.0,0.09596249461174011
2024-2025,2.5,1.125,5,1.0,450.31373814174003,90.062747628348,0.0,0.09596249461174011
2024-2025,2.5,1.25,5,1.0,450.31373814174003,90.062747628348,0.0,0.09596249461174011
2024-2025,2.75,0.75,5,1.0,496.4582955496662,99.29165910993325,0.0,0.09596249461174011
2024-2025,2.75,0.875,5,1.0,496.4582955496662,99.29165910993325,0.0,0.09596249461174011
2024-2025,2.75,1.0,5,1.0,496.4582955496662,99.29165910993325,0.0,0.09596249461174011
2024-2025,2.75,1.125,5,1.0,496.4582955496662,99.29165910993325,0.0,0.09596249461174011
2024-2025,2.75,1.25,5,1.0,496.4582955496662,99.29165910993325,0.0,0.09596249461174011
2024-2025,3.0,0.75,5,1.0,542.6028529575906,108.52057059151812,0.0,0.09596249461174011
2024-2025,3.0,0.875,5,1.0,542.6028529575906,108.52057059151812,0.0,0.09596249461174011
2024-2025,3.0,1.0,5,1.0,542.6028529575906,108.52057059151812,0.0,0.09596249461174011
2024-2025,3.0,1.125,5,1.0,542.6028529575906,108.52057059151812,0.0,0.09596249461174011
2024-2025,3.0,1.25,5,1.0,542.6028529575906,108.52057059151812,0.0,0.09596249461174011
2024-2025,3.25,0.75,5,1.0,588.7474103655131,117.74948207310263,0.0,0.09596249461174011
2024-2025,3.25,0.875,5,1.0,588.7474103655131,117.74948207310263,0.0,0.09596249461174011
2024-2025,3.25,1.0,5,1.0,588.7474103655131,117.74948207310263,0.0,0.09596249461174011
2024-2025,3.25,1.125,5,1.0,588.7474103655131,117.74948207310263,0.0,0.09596249461174011
2024-2025,3.25,1.25,5,1.0,588.7474103655131,117.74948207310263,0.0,0.09596249461174011
2024-2025,3.5,0.75,5,1.0,634.8919677734375,126.9783935546875,0.0,0.09596249461174011
2024-2025,3.5,0.875,5,1.0,634.8919677734375,126.9783935546875,0.0,0.09596249461174011
2024-2025,3.5,1.0,5,1.0,634.8919677734375,126.9783935546875,0.0,0.09596249461174011
2024-2025,3.5,1.125,5,1.0,634.8919677734375,126.9783935546875,0.0,0.09596249461174011
2024-2025,3.5,1.25,5,1.0,634.8919677734375,126.9783935546875,0.0,0.09596249461174011
